date,time,price,consumption
2024-03-12,0,92.82,3782.4
2024-03-12,1,83.08,3735.4
2024-03-12,2,91.59,3714.1
2024-03-12,3,90.32,3729.5
2024-03-12,4,95.78,3821.6
2024-03-12,5,132.76,3962.6
2024-03-12,6,156.47,3927.5
2024-03-12,7,179.35,3825
2024-03-12,8,169.55,3257.4
2024-03-12,9,158.42,3173
2024-03-12,10,140.68,3100.2
2024-03-12,11,115,3060.6
2024-03-12,12,118.07,3034.1
2024-03-12,13,118.07,3143.5
2024-03-12,14,131.04,3601.7
2024-03-12,15,143.62,3815.8
2024-03-12,16,153.94,3838.9
2024-03-12,17,154.59,3260.5
2024-03-12,18,195.62,3603.4
2024-03-12,19,163.17,3362.8
2024-03-12,20,151.21,3140.3
2024-03-12,21,100.67,3319.3
2024-03-12,22,118.07,3554.4
2024-03-12,23,131.2,3143.3